generation biomass,generation solar,generation fossil oil,generation nuclear,generation fossil gas,generation wind onshore
447.0,49.0,162.0,7096.0,4844.0,6378.0
449.0,50.0,158.0,7096.0,5196.0,5890.0
448.0,50.0,157.0,7099.0,4857.0,5461.0
438.0,50.0,160.0,7098.0,4314.0,5238.0
428.0,42.0,156.0,7097.0,4130.0,4935.0
410.0,34.0,156.0,7098.0,4038.0,4618.0
401.0,34.0,158.0,7098.0,4040.0,4397.0
408.0,35.0,160.0,7099.0,4030.0,3992.0
413.0,54.0,161.0,7098.0,4052.0,3629.0
419.0,743.0,163.0,7097.0,4137.0,3073.0
422.0,2019.0,167.0,7096.0,4059.0,2683.0
421.0,3197.0,166.0,7097.0,3931.0,2771.0
428.0,3885.0,167.0,7097.0,3784.0,2906.0
425.0,4007.0,167.0,7099.0,3754.0,2923.0
423.0,3973.0,166.0,7097.0,3779.0,2945.0
421.0,3818.0,160.0,7096.0,3708.0,2709.0
422.0,3088.0,163.0,7095.0,3813.0,2552.0
426.0,1467.0,165.0,7095.0,3967.0,2699.0
427.0,404.0,164.0,7096.0,4756.0,2764.0
442.0,139.0,147.0,7096.0,4410.0,2913.0
445.0,100.0,154.0,7096.0,4324.0,3118.0
443.0,75.0,154.0,7096.0,4684.0,3373.0
440.0,74.0,154.0,7098.0,4870.0,3508.0
438.0,56.0,160.0,7098.0,4685.0,3527.0
368.0,54.0,193.0,7106.0,3189.0,13232.0
368.0,54.0,192.0,7106.0,2902.0,12760.0
358.0,54.0,189.0,7107.0,2772.0,12174.0
353.0,53.0,188.0,7107.0,2936.0,11358.0
354.0,53.0,189.0,7106.0,2893.0,11199.0
354.0,63.0,190.0,7105.0,2889.0,11152.0
357.0,55.0,189.0,7105.0,2898.0,11169.0
357.0,54.0,194.0,7105.0,2938.0,11205.0
359.0,116.0,196.0,7105.0,2869.0,10920.0
357.0,1039.0,193.0,7107.0,3090.0,10491.0
377.0,2373.0,200.0,7107.0,2844.0,10156.0
376.0,3699.0,199.0,7106.0,2699.0,10421.0
376.0,4154.0,197.0,7104.0,2606.0,11230.0
373.0,4074.0,208.0,7105.0,2662.0,11920.0
383.0,3851.0,195.0,7105.0,2729.0,11819.0
391.0,3619.0,195.0,7105.0,2599.0,11961.0
395.0,3024.0,195.0,7106.0,2996.0,12025.0
394.0,2053.0,195.0,7105.0,3696.0,12077.0
410.0,769.0,199.0,7106.0,4760.0,11276.0
435.0,266.0,205.0,7104.0,6030.0,10510.0
435.0,165.0,214.0,7106.0,5973.0,10406.0
437.0,137.0,215.0,7107.0,6082.0,10445.0
437.0,137.0,217.0,7107.0,5747.0,9976.0
443.0,137.0,220.0,7108.0,4177.0,9527.0
478.0,62.0,246.0,7096.0,3801.0,9264.0
463.0,62.0,245.0,7095.0,3812.0,9135.0
452.0,61.0,244.0,7096.0,3745.0,9362.0
454.0,61.0,244.0,7098.0,3638.0,9628.0
449.0,61.0,202.0,7097.0,3515.0,9607.0
453.0,61.0,189.0,7098.0,3626.0,9666.0
458.0,61.0,188.0,7099.0,3556.0,9743.0
452.0,63.0,190.0,7098.0,3524.0,9401.0
438.0,233.0,190.0,7097.0,4000.0,8363.0
433.0,820.0,226.0,7097.0,4157.0,7924.0
419.0,1665.0,249.0,7097.0,3960.0,7592.0
431.0,2488.0,250.0,7093.0,3622.0,7874.0
425.0,3218.0,247.0,7094.0,3138.0,8192.0
427.0,3695.0,249.0,7095.0,3113.0,8718.0
421.0,3780.0,248.0,7093.0,3114.0,9152.0
410.0,3370.0,206.0,7092.0,2982.0,9382.0
397.0,2692.0,190.0,7092.0,2987.0,9307.0
393.0,1931.0,190.0,7095.0,3169.0,8892.0
418.0,1015.0,218.0,7094.0,3221.0,8568.0
458.0,502.0,243.0,7094.0,3033.0,9005.0
462.0,355.0,244.0,7096.0,3136.0,9672.0
462.0,291.0,245.0,7095.0,3061.0,10081.0
463.0,207.0,247.0,7094.0,3224.0,10537.0
456.0,117.0,248.0,7094.0,3529.0,10953.0
391.0,692.0,323.0,7086.0,3981.0,8540.0
351.0,684.0,310.0,7087.0,3997.0,8080.0
350.0,648.0,306.0,7086.0,3787.0,7773.0
366.0,640.0,311.0,7086.0,3724.0,7601.0
377.0,563.0,310.0,7087.0,3578.0,7584.0
372.0,372.0,310.0,7086.0,3676.0,7812.0
377.0,179.0,320.0,7085.0,3702.0,7950.0
396.0,129.0,325.0,7086.0,3569.0,8228.0
415.0,357.0,359.0,7080.0,3314.0,8341.0
418.0,1634.0,368.0,7080.0,3183.0,8569.0
402.0,3830.0,370.0,7079.0,3168.0,8433.0
411.0,4937.0,371.0,7083.0,3207.0,8001.0
403.0,5302.0,371.0,7085.0,3279.0,7520.0
407.0,5590.0,362.0,7087.0,3295.0,7274.0
393.0,5668.0,369.0,7085.0,3141.0,6878.0
400.0,5593.0,365.0,7083.0,3118.0,7517.0
397.0,5316.0,374.0,7080.0,3131.0,7999.0
393.0,4907.0,383.0,7079.0,3303.0,8181.0
402.0,4200.0,381.0,7078.0,3368.0,8260.0
409.0,2911.0,383.0,7080.0,3434.0,8156.0
438.0,1392.0,385.0,7082.0,3604.0,8347.0
436.0,748.0,389.0,7084.0,3874.0,8875.0
424.0,696.0,394.0,7085.0,3447.0,8922.0
403.0,672.0,391.0,7088.0,3390.0,8735.0
373.0,691.0,352.0,4036.0,5338.0,7351.0
363.0,668.0,310.0,4029.0,5352.0,7403.0
359.0,662.0,311.0,4028.0,4791.0,7887.0
0.0,0.0,0.0,0.0,0.0,0.0
334.0,570.0,308.0,4030.0,4390.0,8348.0
338.0,428.0,300.0,4031.0,4108.0,8526.0
341.0,243.0,291.0,4031.0,4396.0,8518.0
343.0,155.0,301.0,4031.0,4227.0,8263.0
345.0,500.0,317.0,4030.0,4017.0,8326.0
369.0,1333.0,331.0,4028.0,4243.0,8046.0
374.0,2482.0,337.0,4011.0,3993.0,8439.0
376.0,3339.0,333.0,3829.0,3900.0,9131.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
370.0,2944.0,336.0,3712.0,4003.0,7431.0
375.0,1971.0,333.0,3743.0,4181.0,6570.0
371.0,958.0,334.0,3773.0,4607.0,5549.0
370.0,605.0,326.0,3803.0,5329.0,4979.0
362.0,518.0,334.0,3834.0,5682.0,4822.0
370.0,394.0,328.0,3868.0,5699.0,4982.0
535.0,626.0,257.0,4826.0,4359.0,4052.0
532.0,624.0,258.0,4828.0,4502.0,3832.0
530.0,616.0,266.0,4830.0,4393.0,3398.0
532.0,582.0,262.0,4846.0,4386.0,3003.0
541.0,576.0,266.0,4895.0,4453.0,2569.0
545.0,499.0,263.0,4903.0,4589.0,2380.0
540.0,415.0,257.0,4911.0,4818.0,2196.0
546.0,412.0,283.0,4924.0,4862.0,1701.0
546.0,1168.0,343.0,4930.0,5143.0,1102.0
544.0,3018.0,368.0,4942.0,4842.0,682.0
